SNo,Rank,Allotted Quota,Allotted Institute,Course,Remarks,Alloted Category,candidate Category,option No.
8980,15893,-,-,-,-,EWS,EWS,79
8981,15894,All India,"Government Medical College, Dindigul",MBBS,Not Reported,OBC,OBC,33
8982,15902,All India,Koppal Institute of Medical Sciences,MBBS,Not Reported,OBC,OBC,119
8983,15904,All India,"Tezpur Medical College, Tezpur",MBBS,Not Reported,-,-,-
8984,15913,All India,"RAJIV GANDHI INSTITUTE OF MEDICAL SCIENCES, KADAPA",MBBS,Not Reported,OBC,OBC,18
8985,15917,-,-,-,-,OBC,OBC,68
8986,15922,All India,"ZORAM MEDICAL
COLLEGE Falkawn",MBBS,Not Reported,-,-,-
8987,15923,-,-,-,-,Open,GN,202
8988,15925,-,-,-,-,EWS,EWS,34
8989,15926,-,-,-,-,Open,OBC,77
8990,15927,All India,"BIDAR INSTITUTE OF MEDICAL SCI., BIDAR",MBBS,Not Reported,EWS,EWS,59
8991,15928,Deemed/Pa id Seats Quota,"Kasturba Medical College, Manipal Univ., Manipal",MBBS,Not Reported,Open,GN,69
8992,15933,-,-,-,-,OBC,OBC,109
8993,15934,All India,Koppal Institute of Medical Sciences,MBBS,Not Reported,OBC,OBC,86
8994,15937,All India,"Government Medical College, Dindigul",MBBS,Not Reported,-,-,-
8995,15942,-,-,-,-,Open,GN,165
8996,15944,All India,"Fakhruddin Ali Ahmed Medical College, Barpeta",MBBS,Not Reported,OBC,OBC,62
8997,15950,-,-,-,-,Open,GN,90
8998,15951,-,-,-,-,Open,GN,26
8999,15954,All India,Government Medical College Mahasamund Chhattisgarh,MBBS,Not Reported,OBC,OBC,22
9000,15964,-,-,-,-,OBC,OBC,68
9001,15965,All India,Government Medical College Siddipet,MBBS,Not Reported,OBC,OBC,125
9002,15966,Open Seat Quota,"AIIMS, Nagpur",MBBS,Reported,-,-,-
9003,15972,All India,"Government Medical College, Virudhunagar",MBBS,Not Reported,-,-,-
9004,15974,All India,"Government Medical College, Churachandpur",MBBS,Not Reported,Open,OBC,53
9005,15975,All India,"GOVERNMENT MEDICAL COLLEGE, OSMANABAD",MBBS,Not Reported,OBC,OBC,66
9006,15976,All India,"GOVERNMENT MEDICAL COLLEGE, RAJOURI",MBBS,Not Reported,-,-,-
9007,15978,All India,"Fakhruddin Ali Ahmed Medical College, Barpeta",MBBS,Not Reported,Open,OBC,163
9008,15979,-,-,-,-,Open,GN,100
9009,15981,-,-,-,-,Open,OBC,41
9010,15982,-,-,-,-,OBC,OBC,77
9011,15983,All India,"Gulbarga Institute of Medical Sciences, Gulbarga",MBBS,Not Reported,EWS,EWS,135
9012,15984,All India,"RAJIV GANDHI INSTITUTE OF MEDICAL SCIENCES, KADAPA",MBBS,Not Reported,OBC,OBC,97
9013,15985,All India,"C. Institute of Medical Sciences,
Chamarajanagar",MBBS,Not Reported,Open,OBC,84
9014,15986,All India,Andaman and Nicobar Islands Institute of Medical S,MBBS,Not Reported,OBC,OBC,48
9015,15987,All India,RAMPURHAT GOVT MEDICAL COLLEGE RAMPURHAT,MBBS,Reported,Open,EWS,124
9016,15989,-,-,-,-,Open,GN,141
9017,15990,All India,Andaman and Nicobar Islands Institute of Medical S,MBBS,Not Reported,-,-,-
9018,15992,All India,Government Medical College Siddipet,MBBS,Not Reported,-,-,-
9019,15993,-,-,-,-,OBC,OBC,134
9020,15994,Open Seat Quota,"AIIMS, Rishikesh",MBBS,Reported,-,-,-
9021,15996,-,-,-,-,OBC,OBC,87
9022,15998,All India,Chikkamagaluru Institute of Medical Sciences,MBBS,Not Reported,Open,GN,109
9023,16001,Deemed/Pa id Seats Quota,"Kasturba Medical College, Manipal Univ., Manipal",MBBS,Reported,-,-,-
9024,16002,All India,RIMS Srikakulam,MBBS,Not Reported,OBC,OBC,97
9025,16003,-,-,-,-,EWS,EWS,122
9026,16008,-,-,-,-,Open,GN,34
9027,16010,All India,"Prafulla Chandra Sen Government Medical College & Hospital, Arambagh",MBBS,Reported,Open,OBC,39
9028,16016,All India,"C. Institute of Medical Sciences,
Chamarajanagar",MBBS,Not Reported,OBC,OBC,77
9029,16017,All India,"ZORAM MEDICAL
COLLEGE Falkawn",MBBS,Not Reported,OBC,OBC,140
9030,16019,All India,Deben Mahata Government Medical College & Hospital,MBBS,Not Reported,-,-,-
9031,16020,-,-,-,-,Open,OBC,49
9032,16022,-,-,-,-,EWS,EWS,47
9033,16026,All India,"Government Medical College, Kallakurichi",MBBS,Not Reported,-,-,-
9034,16027,All India,"KANYAKUMARI GOVT. MED. COLL.,ASARIPALLA M",MBBS,Not Reported,EWS,EWS,114
9035,16032,-,-,-,-,OBC,OBC,24
9036,16035,All India,"GOVT. DC & RESEARCH INSt., BELLARY",BDS,Not Reported,Open,GN,136
9037,16037,All India,Government Medical College Mahasamund Chhattisgarh,MBBS,Not Reported,OBC,OBC,148
9038,16040,All India,"Government Dental College & Hospital, Srinagar",BDS,Not Reported,Open,OBC,50
9039,16041,-,-,-,-,OBC,OBC,60
9040,16042,All India,"YADGIRI INSTITUTE OF MEDICAL SCIENCES, YADGIRI",MBBS,Not Reported,Open,GN,124
9041,16044,All India,"Government Medical College, Kanker, Chhattisgarh",MBBS,Not Reported,EWS,EWS,114
9042,16046,All India,Govt Medical College Nalgonda,MBBS,Not Reported,Open,GN,138
9043,16047,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
9044,16049,All India,"ZORAM MEDICAL
COLLEGE Falkawn",MBBS,Not Reported,-,-,-
9045,16050,All India,"GOVERNMENT MEDICAL COLLEGE, OSMANABAD",MBBS,Reported,-,-,-
9046,16052,-,-,-,-,Open,GN,104
9047,16054,All India,"RAJIV GANDHI INSTITUTE OF MEDICAL SCIENCES, KADAPA",MBBS,Not Reported,OBC,OBC,89
9048,16062,-,-,-,-,OBC,OBC,20
9049,16063,All India,"RAJIV GANDHI INSTITUTE OF MEDICAL SCIENCES, KADAPA",MBBS,Not Reported,-,-,-
9050,16065,-,-,-,-,Open,GN,1
9051,16070,All India,Government Medical College Suryapet,MBBS,Not Reported,-,-,-
9052,16071,All India,"C. Institute of Medical Sciences,
Chamarajanagar",MBBS,Not Reported,OBC,OBC,114
9053,16073,All India,"Government Medical College, Virudhunagar",MBBS,Not Reported,-,-,-
9054,16077,-,-,-,-,Open,GN,112
9055,16078,All India,"C. Institute of Medical Sciences,
Chamarajanagar",MBBS,Not Reported,OBC,OBC,66
9056,16080,All India,"Government Medical College & Hospital, Alibag-Raigad",MBBS,Not Reported,EWS,EWS,76
9057,16081,-,-,-,-,Open,GN,145
9058,16085,All India,"Haveri Institute of Medical Sciences, Karnataka",MBBS,Not Reported,-,-,-
9059,16087,All India,Government Medical College Suryapet,MBBS,Not Reported,Open,GN,136
9060,16088,All India,"Government Medical College, Virudhunagar",MBBS,Not Reported,OBC,OBC,16
9061,16095,All India,"Sarat Chandra Chattopadhyay Govt. Medical College & Hospital, Uluberia",MBBS,Not Reported,OBC,OBC,65
9062,16098,All India,"Jorhat Medical College and Hospital, JORHAT",MBBS,Not Reported,OBC,OBC,35
9063,16102,All India,"Government Medical College, Korba(C.G.)",MBBS,Not Reported,OBC,OBC,143
9064,16103,All India,"Government Medical College, Dindigul",MBBS,Not Reported,OBC,OBC,16
9065,16106,All India,"Government Medical College, Mahabubabad",MBBS,Not Reported,Open,GN,114
9066,16107,All India,Government Medical College Suryapet,MBBS,Not Reported,Open,GN,117
9067,16109,All India,"C. Institute of Medical Sciences,
Chamarajanagar",MBBS,Not Reported,OBC,OBC,102
9068,16110,All India,"Government Medical College, Sundargarh",MBBS,Not Reported,Open,GN,99
9069,16111,-,-,-,-,EWS,EWS,82
9070,16113,All India,"Haveri Institute of Medical Sciences, Karnataka",MBBS,Not Reported,Open,GN,211
9071,16115,-,-,-,-,Open,GN,109
9072,16116,All India,RIMS Srikakulam,MBBS,Not Reported,OBC,OBC,69
9073,16117,-,-,-,-,Open,OBC,72
9074,16118,All India,"Government Medical College, Kallakurichi",MBBS,Not Reported,EWS,EWS,139
9075,16120,All India,"Government Medical College, Korba(C.G.)",MBBS,Not Reported,-,-,-
9076,16126,-,-,-,-,EWS,EWS,16
9077,16130,-,-,-,-,OBC,OBC,117
9078,16131,-,-,-,-,Open,GN,93
9079,16132,-,-,-,-,OBC,OBC,37
9080,16133,-,-,-,-,OBC,OBC,71
9081,16136,-,-,-,-,OBC,OBC,16
9082,16137,All India,"RIMS, Ongole",MBBS,Not Reported,OBC,OBC,46
9083,16142,All India,"Tezpur Medical College, Tezpur",MBBS,Not Reported,OBC,OBC,125
9084,16145,All India,RAMPURHAT GOVT MEDICAL COLLEGE RAMPURHAT,MBBS,Not Reported,-,-,-
9085,16147,-,-,-,-,OBC,OBC,67
9086,16149,-,-,-,-,Open,GN,100
9087,16150,-,-,-,-,OBC,OBC,154
9088,16151,All India,MYSORE MED.& RESEARCH INST. MYSORE,MBBS,Reported,-,-,-
9089,16152,-,-,-,-,EWS,EWS,76
9090,16153,Internal - Puducherry UT Domicile,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
9091,16154,All India,"RAJIV GANDHI INSTITUTE OF MEDICAL SCIENCES, KADAPA",MBBS,Not Reported,OBC,OBC,135
9092,16155,All India,RIMS Srikakulam,MBBS,Not Reported,-,-,-
9093,16164,-,-,-,-,OBC,OBC,112
9094,16168,All India,Gadag Institute of Medical Sciences,MBBS,Reported,EWS,EWS,93
9095,16173,All India,"JLN IMS, IMPHAL",MBBS,Not Reported,-,-,-
9096,16174,All India,"GVMC, VILLUPURAM",MBBS,Not Reported,EWS,EWS,54
9097,16176,-,-,-,-,Open,OBC,12
9098,16178,All India,"Tezpur Medical College, Tezpur",MBBS,Not Reported,-,-,-
9099,16180,-,-,-,-,Open,GN,22
9100,16181,All India,"Tezpur Medical College, Tezpur",MBBS,Not Reported,-,-,-
9101,16182,Employees State Insurance Scheme(ES I),"ESI-MC&PGIMS&R,
Banglore",MBBS,Not Reported,-,-,-
9102,16183,All India,"Government Medical College, Kallakurichi",MBBS,Not Reported,Open,GN,182
9103,16184,-,-,-,-,Open,OBC,115
9104,16187,All India,"Government Medical College, Ananthapuram",MBBS,Reported,-,-,-
9105,16191,Open Seat Quota,"AIIMS, Nagpur",MBBS,Reported,-,-,-
9106,16192,Open Seat Quota,"Dr. Ziauddin Ahmed Dental College and Hospital,ALIGARH",BDS,Not Reported,-,-,-
9107,16197,-,-,-,-,OBC,OBC,104
9108,16199,All India,"Government Medical College, Sundargarh",MBBS,Not Reported,Open,GN,163
9109,16201,All India,"Government Medical College, Mahabubabad",MBBS,Not Reported,Open,GN,208
9110,16202,All India,"Government Medical College, Churachandpur",MBBS,Not Reported,EWS,EWS,70
9111,16207,All India,"Karwar Institute of Medical Sciences, Karwar",MBBS,Not Reported,-,-,-
9112,16208,All India,Government Medical College Siddipet,MBBS,Not Reported,OBC,OBC,107
9113,16209,-,-,-,-,OBC,OBC,35
9114,16210,All India,"Government Medical College, Ariyalur",MBBS,Not Reported,-,-,-
9115,16212,-,-,-,-,EWS,EWS,52
9116,16216,-,-,-,-,Open,GN,86
9117,16222,-,-,-,-,OBC,OBC,48
9118,16223,-,-,-,-,Open,GN,69
9119,16224,All India,"Government Medical College, Ariyalur",MBBS,Not Reported,Open,GN,137
9120,16227,All India,"GMERS Medical College, Rajpipla",MBBS,Not Reported,OBC,OBC,111
9121,16234,All India,"S.M.S. MEDICAL COLLEGE, JAIPUR",MBBS,Reported,-,-,-
9122,16236,All India,"Government Medical College, Churachandpur",MBBS,Not Reported,Open,OBC,28
9123,16246,All India,"Government Medical College, Sundargarh",MBBS,Not Reported,-,-,-
9124,16249,All India,Chikkamagaluru Institute of Medical Sciences,MBBS,Not Reported,-,-,-
9125,16250,All India,Chikkamagaluru Institute of Medical Sciences,MBBS,Not Reported,Open,GN,158
9126,16252,All India,Govt Medical College Nalgonda,MBBS,Not Reported,-,-,-
9127,16256,All India,"ESIC Dental College, Gulbarga",BDS,Not Reported,-,-,-
9128,16258,-,-,-,-,Open,GN,2
9129,16260,All India,"CHENGALPATTU MEDICAL COLL,CHENGALPAT TU",MBBS,Not Reported,-,-,-
9130,16269,-,-,-,-,Open,GN,122
9131,16270,-,-,-,-,OBC,OBC,10
9132,16273,-,-,-,-,OBC,OBC,125
9133,16275,All India,Chikkamagaluru Institute of Medical Sciences,MBBS,Not Reported,Open,OBC,66
9134,16276,-,-,-,-,Open,GN,107
9135,16277,All India,"Government Medical College, Konni",MBBS,Not Reported,-,-,-
9136,16282,All India,"Tezpur Medical College, Tezpur",MBBS,Not Reported,-,-,-
9137,16284,All India,"Government Medical College & Hospital, Jalpaiguri",MBBS,Not Reported,EWS,EWS,48
9138,16287,-,-,-,-,OBC,OBC,151
9139,16289,All India,"Government Medical College, Kallakurichi",MBBS,Not Reported,Open,GN,41
9140,16290,All India,"Bhima Bhoi Medical College and Hospital , Balangir",MBBS,Not Reported,EWS,EWS,52
9141,16294,All India,"Government Medical College, Ramanathapuram",MBBS,Not Reported,Open,GN,112
9142,16295,All India,"Tomo Riba Institute Health and Medical Sciences, Naharlagun",MBBS,Not Reported,-,-,-
9143,16299,-,-,-,-,Open,GN,117
9144,16300,All India,"Government Medical College, Churachandpur",MBBS,Not Reported,Open,GN,106
9145,16301,All India,"Government Medical College, Doda",MBBS,Not Reported,-,-,-
9146,16303,-,-,-,-,OBC,OBC,111
9147,16306,All India,"Fakhruddin Ali Ahmed Medical College, Barpeta",MBBS,Not Reported,OBC,OBC,140
9148,16307,All India,"YADGIRI INSTITUTE OF MEDICAL SCIENCES, YADGIRI",MBBS,Not Reported,-,-,-
9149,16309,-,-,-,-,Open,GN,80
9150,16310,-,-,-,-,Open,GN,25
9151,16311,-,-,-,-,Open,GN,73
9152,16317,All India,"Government Medical College, Ariyalur",MBBS,Not Reported,Open,GN,112
9153,16319,-,-,-,-,Open,GN,107
9154,16320,-,-,-,-,Open,OBC,85
9155,16321,All India,"Government Medical College, Bhadradri, Kothagudem",MBBS,Not Reported,-,-,-
9156,16325,-,-,-,-,EWS,EWS,87
9157,16327,All India,Gadag Institute of Medical Sciences,MBBS,Not Reported,EWS,EWS,105
9158,16329,All India,"Government Medical College, Churachandpur",MBBS,Not Reported,OBC,OBC,106
9159,16331,All India,"Government Medical College, Sindhudurg",MBBS,Seat Surrendered,EWS,EWS,51
9160,16332,All India,"Tamralipto Government Medical College & Hospital, West Bengal",MBBS,Not Reported,OBC,OBC,128
9161,16333,All India,Govt Medical College Nalgonda,MBBS,Not Reported,OBC,OBC,78
9162,16337,-,-,-,-,SC,SC,6
9163,16338,-,-,-,-,EWS,EWS,111
9164,16342,All India,"Government Medical College, Nilgiris",MBBS,Not Reported,OBC,OBC,16
9165,16343,All India,"Government Medical College and Hospital, Keonjhar",MBBS,Not Reported,OBC,OBC,74
9166,16347,-,-,-,-,Open,GN,98
9167,16349,All India,"Government Medical College, Kallakurichi",MBBS,Not Reported,OBC,OBC,46
9168,16352,-,-,-,-,OBC,OBC,51
9169,16353,All India,Andaman and Nicobar Islands Institute of Medical S,MBBS,Not Reported,Open,OBC,59
9170,16355,-,-,-,-,Open,GN,26
9171,16356,All India,"Kodagu Institute of Medical Sciences, Kodagu",MBBS,Not Reported,EWS,EWS,105
9172,16358,-,-,-,-,Open,OBC,93
9173,16362,All India,Government Medical College Suryapet,MBBS,Not Reported,-,-,-
9174,16370,-,-,-,-,OBC,OBC,44
9175,16371,All India,"Fakhruddin Ali Ahmed Medical College, Barpeta",MBBS,Not Reported,OBC,OBC,152
9176,16375,-,-,-,-,Open,OBC,29
9177,16377,-,-,-,-,OBC,OBC,87
9178,16379,All India,ESIC Dental College and Hospital,BDS,Not Reported,-,-,-
9179,16380,All India,"Diphu Medical College & Hospital, Assam",MBBS,Not Reported,OBC,OBC,59
9180,16381,All India,"Bhima Bhoi Medical College and Hospital , Balangir",MBBS,Not Reported,EWS,EWS,111
9181,16386,-,-,-,-,Open,GN,119
9182,16389,-,-,-,-,OBC,OBC,66
9183,16390,-,-,-,-,Open,GN,8
9184,16393,-,-,-,-,OBC,OBC,85
9185,16394,All India,"Diphu Medical College & Hospital, Assam",MBBS,Not Reported,-,-,-
9186,16395,All India,"Government Medical College, Korba(C.G.)",MBBS,Not Reported,OBC,OBC,103
9187,16396,All India,Chikkamagaluru Institute of Medical Sciences,MBBS,Not Reported,-,-,-
9188,16398,All India,"YADGIRI INSTITUTE OF MEDICAL SCIENCES, YADGIRI",MBBS,Not Reported,OBC,OBC,133
9189,16406,All India,"Government medical College, Namakkal",MBBS,Not Reported,-,-,-
9190,16409,-,-,-,-,Open,GN,88
9191,16410,All India,"Kodagu Institute of Medical Sciences, Kodagu",MBBS,Not Reported,-,-,-
9192,16411,All India,Government Medical College Suryapet,MBBS,Not Reported,Open,OBC,114
9193,16413,All India,"Government Medical College, Krishnagiri",MBBS,Not Reported,OBC,OBC,83
9194,16415,All India,"Government Medical College, Sundargarh",MBBS,Not Reported,Open,OBC,68
9195,16416,All India,"Government Medical College, Ariyalur",MBBS,Not Reported,Open,GN,8
9196,16419,Non- Resident Indian,"Kasturba Medical College, Manipal Univ., Manipal",MBBS,Reported,-,-,-
9197,16423,All India,"Government Medical College, Virudhunagar",MBBS,Not Reported,Open,OBC,28
9198,16425,-,-,-,-,OBC,OBC,17
9199,16428,All India,"Government Medical College, Churachandpur",MBBS,Not Reported,EWS,EWS,102
9200,16429,All India,"Government Medical College, Mahabubabad",MBBS,Not Reported,Open,OBC,120
9201,16432,-,-,-,-,Open,GN,63
9202,16440,-,-,-,-,OBC,OBC,110
9203,16442,All India,"Government Medical College, Mahabubangar",MBBS,Not Reported,-,-,-
9204,16445,-,-,-,-,OBC,OBC,98
9205,16446,-,-,-,-,Open,GN,30
9206,16448,All India,"YADGIRI INSTITUTE OF MEDICAL SCIENCES, YADGIRI",MBBS,Not Reported,Open,OBC,37
9207,16453,All India,"Sarat Chandra Chattopadhyay Govt. Medical College & Hospital, Uluberia",MBBS,Not Reported,-,-,-
9208,16454,-,-,-,-,Open,GN,103
9209,16458,All India,Government Medical College Suryapet,MBBS,Not Reported,EWS,EWS,77
9210,16459,All India,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTAL A",MBBS,Not Reported,OBC,OBC,71
9211,16460,All India,Government Medical College Mahasamund Chhattisgarh,MBBS,Not Reported,EWS,EWS,84
9212,16469,-,-,-,-,OBC,OBC,96
9213,16470,All India,"Government Medical College, Krishnagiri",MBBS,Not Reported,Open,OBC,64
9214,16471,-,-,-,-,OBC,OBC,20
9215,16477,All India,"Government Medical College, Nilgiris",MBBS,Not Reported,-,-,-
9216,16479,-,-,-,-,Open,OBC,100
9217,16490,-,-,-,-,EWS,EWS,15
9218,16492,All India,"GMERS Medical College, Rajpipla",MBBS,Not Reported,EWS,EWS,84
9219,16495,All India,"Government Medical College, Jagtial",MBBS,Not Reported,-,-,-
9220,16499,All India,"Tamralipto Government Medical College & Hospital, West Bengal",MBBS,Not Reported,-,-,-
9221,16504,All India,"Government Medical College, Korba(C.G.)",MBBS,Not Reported,OBC,OBC,98
9222,16505,All India,"Government Medical College, Doda",MBBS,Not Reported,OBC,OBC,130
9223,16506,All India,"GMERS Medical College, Navsari",MBBS,Not Reported,-,-,-
9224,16508,-,-,-,-,OBC,OBC,122
9225,16513,-,-,-,-,Open,OBC,29
9226,16515,All India,Government Medical College Suryapet,MBBS,Not Reported,OBC,OBC,134
9227,16517,All India,Chikkamagaluru Institute of Medical Sciences,MBBS,Not Reported,OBC,OBC,159
9228,16524,-,-,-,-,Open,GN,174
9229,16525,All India,"Government Medical College, Mahabubangar",MBBS,Reported,EWS,EWS,93
9230,16526,All India,"Government Medical College, Baramulla",MBBS,Not Reported,Open,GN,181
9231,16530,All India,"Tamralipto Government Medical College & Hospital, West Bengal",MBBS,Not Reported,-,-,-
9232,16533,All India,Chikkamagaluru Institute of Medical Sciences,MBBS,Not Reported,-,-,-
9233,16535,All India,Andaman and Nicobar Islands Institute of Medical S,MBBS,Not Reported,Open,OBC,62
9234,16537,All India,"Government Medical College, Jagtial",MBBS,Not Reported,OBC,OBC,59
9235,16541,-,-,-,-,Open,GN,99
9236,16546,All India,Koppal Institute of Medical Sciences,MBBS,Not Reported,EWS,EWS,130
9237,16547,-,-,-,-,EWS,EWS,130
9238,16553,All India,"GOVT. DHARAMAPURI MED COLL,DHARMAPURI",MBBS,Not Reported,-,-,-
9239,16555,-,-,-,-,Open,GN,135
9240,16556,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
9241,16558,All India,"YADGIRI INSTITUTE OF MEDICAL SCIENCES, YADGIRI",MBBS,Not Reported,Open,GN,91
9242,16561,All India,Chikkamagaluru Institute of Medical Sciences,MBBS,Not Reported,OBC,OBC,133
9243,16564,All India,"Government Medical College, Doda",MBBS,Not Reported,-,-,-
9244,16568,All India,"GMERS Medical College, Morbi",MBBS,Not Reported,-,-,-
9245,16570,All India,"Government Medical College, Nagapattinam",MBBS,Not Reported,OBC,OBC,124
9246,16572,All India,"Government Medical College, Nagapattinam",MBBS,Not Reported,Open,OBC,36
9247,16576,-,-,-,-,OBC,OBC,90
9248,16579,-,-,-,-,Open,OBC,81
9249,16581,All India,"Government Medical College, Virudhunagar",MBBS,Not Reported,Open,OBC,35
9250,16582,All India,"K.A.P. VISWANATHAM G.M.C.,TIRUCHIRAP ALLI",MBBS,Not Reported,-,-,-
9251,16589,All India,"Haveri Institute of Medical Sciences, Karnataka",MBBS,Not Reported,Open,GN,186
9252,16590,All India,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTAL A",MBBS,Not Reported,Open,OBC,133
9253,16591,All India,"Prafulla Chandra Sen Government Medical College & Hospital, Arambagh",MBBS,Not Reported,EWS,EWS,97
9254,16596,-,-,-,-,OBC,OBC,111
9255,16598,-,-,-,-,OBC,OBC,93
9256,16599,-,-,-,-,EWS,EWS,2
9257,16600,-,-,-,-,Open,OBC,42
9258,16601,All India,"Government Medical College, Ariyalur",MBBS,Not Reported,Open,GN,152
9259,16602,All India,"Tamralipto Government Medical College & Hospital, West Bengal",MBBS,Not Reported,-,-,-
9260,16603,All India,"Jorhat Medical College and Hospital, JORHAT",MBBS,Reported,-,-,-
9261,16605,All India,"Government Medical College, Kallakurichi",MBBS,Reported,Open,GN,26
9262,16608,All India,"K.A.P. VISWANATHAM G.M.C.,TIRUCHIRAP ALLI",MBBS,Not Reported,-,-,-
9263,16611,All India,Government Medical College Mahasamund Chhattisgarh,MBBS,Not Reported,Open,OBC,59
9264,16613,All India,"RAJIV GANDHI INSTITUTE OF MEDICAL SCIENCES, KADAPA",MBBS,Not Reported,EWS,EWS,111
9265,16616,-,-,-,-,Open,GN,75
9266,16619,All India,"RUHS College of Dental Science, Jaipur",BDS,Not Reported,OBC,OBC,39
9267,16620,All India,"Diphu Medical College & Hospital, Assam",MBBS,Not Reported,Open,OBC,124
9268,16625,All India,"Tezpur Medical College, Tezpur",MBBS,Reported,EWS,EWS,17
9269,16626,-,-,-,-,OBC,OBC,89
9270,16628,All India,"ACSR Govt Medical College, Nellore",MBBS,Not Reported,Open,EWS,63
9271,16629,-,-,-,-,Open,OBC,144
9272,16631,-,-,-,-,Open,GN,64
9273,16635,-,-,-,-,Open,OBC,111
9274,16636,All India,"S.C.B. MEDICAL COLL(DENTAL),CUT
TACK",BDS,Not Reported,OBC,OBC,139
9275,16637,All India,"Government Medical College, Krishnagiri",MBBS,Not Reported,Open,GN,61
9276,16638,All India,"Haveri Institute of Medical Sciences, Karnataka",MBBS,Not Reported,-,-,-
9277,16639,All India,"ZORAM MEDICAL
COLLEGE Falkawn",MBBS,Not Reported,-,-,-
9278,16640,-,-,-,-,Open,GN,6
9279,16643,All India,Government Medical College Suryapet,MBBS,Not Reported,OBC,OBC,118
9280,16646,All India,"Government Medical College, Bhadradri, Kothagudem",MBBS,Not Reported,Open,GN,173
9281,16647,Open Seat Quota,"AIIMS, Rishikesh",MBBS,Reported,-,-,-
9282,16648,All India,"GDC,PT.BDS UNIV.OF HEALTH SCI,ROHTAK",BDS,Not Reported,OBC,OBC,163
9283,16649,All India,"Government Medical College, Ramanathapuram",MBBS,Not Reported,Open,GN,175
9284,16650,-,-,-,-,Open,OBC,109
9285,16652,-,-,-,-,Open,GN,1
9286,16658,All India,"Government Medical College, Krishnagiri",MBBS,Not Reported,Open,GN,25
9287,16659,All India,"Government Medical College, Churachandpur",MBBS,Not Reported,-,-,-
9288,16661,All India,"Lakhimpur Medical College, North Lakhimpur, Assam",MBBS,Not Reported,-,-,-
9289,16664,Open Seat Quota,"INST.OF MED.SCIENCES, BHU,VARANASI",MBBS,Reported,-,-,-
9290,16665,-,-,-,-,OBC,OBC,74
9291,16666,-,-,-,-,Open,OBC,97
9292,16667,-,-,-,-,Open,OBC,16
9293,16672,-,-,-,-,Open,GN,102
9294,16673,All India,"GOVT MEDICAL COLLEGE, WANAPARTHY",MBBS,Not Reported,Open,GN,207
9295,16675,-,-,-,-,OBC,OBC,111
9296,16676,-,-,-,-,Open,OBC,24
9297,16677,All India,"Tamralipto Government Medical College & Hospital, West Bengal",MBBS,Not Reported,OBC,OBC,89
9298,16682,Employees State Insurance Scheme(ES I),"ESIC Medical College, Faridabad",MBBS,Reported,-,-,-
9299,16684,-,-,-,-,OBC,OBC,142
9300,16686,All India,"PATNA DENTAL COLLEGE & HOSPITAL, PATNA",BDS,Not Reported,-,-,-
9301,16694,All India,Chikkamagaluru Institute of Medical Sciences,MBBS,Not Reported,Open,OBC,33
9302,16695,-,-,-,-,Open,OBC,93
9303,16696,All India,"Diphu Medical College & Hospital, Assam",MBBS,Not Reported,OBC,OBC,66
9304,16697,All India,"GMERS Medical College, Panchmahal Godhra",MBBS,Not Reported,Open,OBC,7
9305,16701,-,-,-,-,Open,GN,29
9306,16705,-,-,-,-,Open,GN,114
9307,16706,All India,"Tezpur Medical College, Tezpur",MBBS,Not Reported,-,-,-
9308,16710,All India,"Government Medical College, Sundargarh",MBBS,Not Reported,EWS,EWS,35
9309,16714,All India,"Government Medical College, Bhadradri, Kothagudem",MBBS,Not Reported,OBC,OBC,114
9310,16721,All India,Koppal Institute of Medical Sciences,MBBS,Reported,EWS,EWS,7
9311,16726,-,-,-,-,Open,GN,13
9312,16730,All India,Govt Medical College Nalgonda,MBBS,Not Reported,Open,OBC,112
9313,16731,-,-,-,-,Open,OBC,139
9314,16732,All India,"Government Medical College, Krishnagiri",MBBS,Not Reported,Open,GN,126
9315,16733,All India,"Prafulla Chandra Sen Government Medical College & Hospital, Arambagh",MBBS,Not Reported,-,-,-
9316,16737,All India,"Government Medical College, Nilgiris",MBBS,Not Reported,Open,OBC,21
9317,16740,All India,"Prafulla Chandra Sen Government Medical College & Hospital, Arambagh",MBBS,Not Reported,OBC,OBC,159
9318,16741,-,-,-,-,OBC,OBC,122
9319,16744,All India,"GOVERNMENT MEDICAL COLLEGE, RAJOURI",MBBS,Not Reported,OBC,OBC,220
9320,16745,All India,"Government Medical College, Ramanathapuram",MBBS,Not Reported,Open,GN,116
9321,16753,All India,"Lakhimpur Medical College, North Lakhimpur, Assam",MBBS,Reported,EWS,EWS,30
9322,16754,All India,"ZORAM MEDICAL
COLLEGE Falkawn",MBBS,Not Reported,Open,OBC,73
9323,16756,All India,Govt Medical College Nalgonda,MBBS,Not Reported,-,-,-
9324,16763,-,-,-,-,Open,OBC,171
9325,16765,-,-,-,-,EWS,EWS,74
9326,16768,All India,"Lakhimpur Medical College, North Lakhimpur, Assam",MBBS,Not Reported,-,-,-
9327,16769,All India,"Government Medical College, Ramanathapuram",MBBS,Not Reported,-,-,-
